"","study","method","interviewer","computer.assisted","item_name","repetition","concept","domain","past","future","centrality","socdesir","visual","questiontype","motivation","opinionother","gradation","instr_respon","instr_interv","intropresent","intr_request","numsub_intro","nwords_intro","avgwrd_intro","nnouns_intro","nabst_intro","avgabs_intro","nwords_total","avgwrd_total","nsub_quest","nsyll_total","avgsy_total","nnouns_total","nabst_total","avgabs_total","used_WH_word","form_basic","stimulus","absolute","balance","encourage","subjectiveop","knowledge","dont_know","scale_basic","ncategories","labels","labels_gramm","scal_neutral","range.correspondence","scale_urange","scale_trange","scale_corres","symmetry","labels_order","fixrefpoints","position","usedshowcard","country","language","rel","val"
"20","Old 2",1,1,0,"2.4.1",0,"4",13,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,1,67,1.5952380952381,7,7,1,0,"2",0,1,1,0,0,0,"3","0",3,"3","0","1",2,1,1,3,0,1,1,8,0,"AT","deu",0.72,0.96
"21","Old 2",2,1,0,"2.1.2",1,"4",120,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,18,18,0,32,1.77777777777778,2,2,1,0,"2",0,1,0,0,0,0,"1","0",5,"3","0","1",2,1,1,3,1,1,1,69,0,"AT","deu",0.94,1
"22","Old 2",2,1,0,"2.2.2",1,"73",13,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,31,31,1,62,2,4,4,1,0,"2",0,1,0,0,0,0,"1","0",5,"3","0","1",2,1,1,3,1,1,1,67,0,"AT","deu",0.92,0.94
"23","Old 2",2,1,0,"2.3.2",1,"4",13,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,13,13,0,24,1.84615384615385,3,3,1,0,"2",0,1,0,0,0,0,"1","0",5,"3","0","1",2,1,1,3,1,1,1,68,0,"AT","deu",0.85,0.99
"24","Old 2",2,1,0,"2.4.2",1,"4",13,1,1,0,2,0,1,0,0,0,1,0,1,0,1,21,11,3,3,1,47,47,1,80,1.70212765957447,8,8,1,0,"2",0,1,0,0,0,0,"1","0",5,"3","0","1",2,1,1,3,1,1,1,66,0,"AT","deu",0.75,0.98
"25","Old 3",1,1,0,"3.1.1",0,"61",120,0,1,0,2,0,3,1,0,1,1,1,1,0,1,16,16,4,4,1,20,20,1,33,1.65,5,3,0.6,0,"2",1,0,0,0,1,0,"3","0",11,"2","0","3",2,1,1,2,1,2,0,38,0,"AT","deu",0.73,0.8
"26","Old 3",1,1,0,"3.2.1",0,"61",120,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,12,3,1,1,1,0,"2",1,0,0,0,1,0,"3","0",11,"2","0","3",2,1,1,2,1,2,0,39,0,"AT","deu",0.84,0.86
"27","Old 3",1,1,0,"3.3.1",0,"61",120,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,19,2.375,3,3,1,0,"2",1,0,0,0,1,0,"3","0",11,"2","0","3",2,1,1,2,1,2,0,40,0,"AT","deu",0.73,0.81
"28","Old 3",1,1,0,"3.4.1",0,"61",6,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,10,2.5,2,2,1,0,"2",1,0,0,0,1,0,"3","0",11,"2","0","3",2,1,1,2,1,2,0,41,0,"AT","deu",0.76,0.81
"29","Old 3",2,1,0,"3.1.2",1,"61",120,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0,14,2,4,2,0.5,0,"2",1,0,0,0,1,0,"3","0",2,"3","0","3",1,0,0,3,0,1,0,168,0,"AT","deu",0.47,0.95
