question_id;study;item_admin;item;language;country;coder;last_updated_coding;WH_word;absolute;balance;centrality;concept;conc_complex;conc_simple;scale_corres;domain;dom_consumer;dom_european;dom_family;dom_health;intpoldomain;dom_leisure;dom_backgrou;natpoldomain;dom_other;dom_personal;dom_work;dont_know;subjectiveop;motivation;form_basic;showc_horiz;opinionother;instr_interv;intropresent;knowledge;labels;labels_gramm;scale_max;scal_neutral;ncategories;fixrefpoints;nfrequencies;nsents_intro;nsents_quest;nsub_quest;numsub_intro;nsyll_ans;nwords_intro;nwords_quest;showc_letter;labels_order;showc_over;encourage;showc_quest;question;scale_urange;ref_period;questiontype;intr_request;instr_respon;scale_basic;showc_boxes;usedshowcard;socdesir;showc_start;symmetry;scale_trange;nabst_ans;nabst_quest;nnouns_ans;nnouns_quest;nsyll_quest;gradation;stimulus;used_WH_word
5485;2;;testa37;ekk;EE;maarjasau;2010-02-03 03:31:00;10;0;1;1;2;.;.;1;1;.;.;.;.;.;.;.;3;.;.;.;2;0;0;2;1;0;1;0;.;2;0;.;1;11;3;.;.;1;0;.;14;.;9;1;1;1;0;0;.;1;2;1;.;0;0;0;1;1;0;1;1;0;2;0;2;23;1;0;1
5486;2;;testa38;ekk;EE;maarjasau;2010-02-02 16:41:48;11;0;0;1;2;.;.;1;1;.;.;.;.;.;.;.;3;.;.;.;3;1;1;1;.;0;1;0;2;2;0;.;3;11;2;.;.;3;1;.;13;.;27;.;1;.;1;.;.;0;2;2;.;0;0;.;0;1;.;.;1;2;6;2;6;59;1;1;1
5487;2;;testa39;ekk;EE;maarjasau;2010-01-29 04:18:07;.;0;.;1;2;.;.;1;1;.;.;.;.;.;.;.;3;.;.;.;3;.;0;0;.;.;1;0;.;2;0;.;3;11;2;.;.;1;0;.;13;.;1;.;1;.;.;.;.;0;2;.;.;0;0;.;0;1;.;.;1;2;1;2;1;4;.;1;.
5488;2;;testa40;ekk;EE;maarjasau;2010-01-29 04:22:11;.;0;.;2;2;.;.;1;1;.;.;.;.;.;.;.;3;.;.;.;3;.;0;0;.;.;1;0;.;2;0;.;3;11;2;.;.;1;0;.;13;.;1;.;1;.;.;.;.;0;2;.;.;0;0;.;0;1;.;.;1;2;0;2;1;4;.;1;.
7327;3;B35;IMSMETN;ekk;EE;maarjasau;2010-02-14 05:37:39;9;0;0;2;7;.;6;3;1;.;.;.;.;.;.;.;20;.;.;.;2;0;0;2;0;0;0;1;.;3;0;.;.;4;1;.;1;3;0;0;46;11;26;0;2;1;0;.;.;.;1;1;0;1;0;.;1;1;.;.;0;0;4;0;7;59;1;0;1
7328;3;B36;IMDFETN;ekk;EE;maarjasau;2010-03-08 16:11:33;8;0;0;2;7;.;6;3;1;.;.;.;.;.;.;.;20;.;.;.;2;0;0;2;0;0;0;0;.;3;0;.;.;4;1;.;.;3;1;.;46;.;24;0;2;1;0;.;.;.;1;1;.;1;0;.;1;1;.;.;0;0;5;0;6;57;1;0;1
7329;3;B37;IMPCNTR;ekk;EE;maarjasau;2010-03-08 16:12:21;8;0;0;2;7;.;6;3;1;.;.;.;.;.;.;.;20;.;.;.;2;0;0;2;0;0;0;0;.;3;0;.;.;4;1;.;.;3;0;.;46;.;18;0;2;1;0;.;.;.;1;1;.;1;0;.;1;1;.;.;0;0;2;0;4;45;1;0;1
7330;3;B38;IMBGECO;ekk;EE;maarjasau;2010-03-08 16:30:20;.;0;0;2;7;.;3;1;1;.;.;.;.;.;.;.;12;.;.;.;2;0;0;2;1;0;0;0;.;2;0;.;1;11;1;.;.;2;0;.;19;.;21;1;1;1;0;0;.;1;2;1;.;1;0;0;1;1;0;1;1;2;3;2;4;52;1;0;0
7331;3;B39;IMUECLT;ekk;EE;maarjasau;2010-02-14 05:34:28;.;0;0;1;1;.;.;1;14;.;.;.;.;.;1;.;.;.;.;.;2;1;0;1;1;0;0;0;.;2;0;.;1;11;1;.;.;2;0;.;16;.;20;1;1;1;0;0;.;1;2;1;.;1;0;0;1;0;0;1;1;2;2;2;4;53;1;0;0
7332;3;B40;IMWBCNT;ekk;EE;maarjasau;2010-02-14 05:47:09;.;1;0;2;7;.;3;1;4;.;.;.;.;.;.;5;.;.;.;.;2;0;0;2;1;0;0;0;.;2;0;.;1;11;1;.;.;3;0;.;15;.;22;1;1;1;0;0;.;1;2;1;.;1;0;0;1;1;0;1;1;2;4;2;6;53;1;0;0
7333;3;E26;LRNNEW;ekk;EE;maarjasau;2010-02-15 04:04:01;.;0;.;1;2;.;.;3;7;.;.;.;.;.;.;.;.;.;.;8;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;29;.;5;0;2;1;.;.;.;1;2;.;.;0;0;.;1;1;.;1;1;0;1;0;1;11;.;1;.
7334;3;E27;ACCDNG;ekk;EE;maarjasau;2010-02-15 04:05:51;.;0;.;1;2;.;.;3;7;.;.;.;.;.;.;.;.;.;.;2;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;29;.;8;0;2;1;.;.;.;1;2;.;.;0;0;.;1;1;.;1;1;0;1;0;1;20;.;1;.
7335;3;E28;PLPRFTR;ekk;EE;maarjasau;2010-02-15 04:08:14;.;0;.;1;2;.;.;3;4;.;.;.;.;.;.;11;.;.;.;.;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;29;.;9;0;2;1;.;.;.;1;1;.;.;0;0;.;1;1;.;1;1;0;2;0;2;25;.;1;.
7336;3;E40;DNGVAL;ekk;EE;maarjasau;2010-02-17 03:18:23;11;0;1;1;2;.;.;3;4;.;.;.;.;.;.;11;.;.;.;.;2;0;0;1;0;0;0;0;.;3;0;.;1;5;3;.;.;2;0;.;29;.;25;0;2;1;1;0;.;1;2;2;.;1;0;.;1;1;0;1;1;0;2;0;3;53;1;1;1
7337;3;E43;PPLLFCR;ekk;EE;maarjasau;2010-02-17 03:21:21;.;0;.;1;1;.;.;3;11;.;.;.;.;.;.;.;.;.;1;.;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;29;.;8;0;2;1;.;0;.;1;2;.;.;0;0;.;1;1;0;1;1;0;1;0;2;18;.;1;.
7338;3;E45;FLCLPLA;ekk;EE;maarjasau;2010-02-17 03:23:56;.;0;.;1;1;.;.;3;11;.;.;.;.;.;.;.;.;.;2;.;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;29;.;9;0;2;1;.;0;.;1;2;.;.;0;0;.;1;1;0;1;1;0;2;0;3;27;.;1;.
7339;3;HS1;testb1;ekk;EE;maarjasau;2010-02-14 05:38:51;11;0;1;2;7;.;3;3;1;.;.;.;.;.;.;.;1;.;.;.;2;0;0;1;0;0;0;1;.;3;0;.;1;5;3;.;4;2;0;0;28;51;26;0;2;1;0;.;.;1;1;2;0;1;0;.;1;1;.;1;1;0;6;0;7;67;1;1;1
7340;3;HS2;testb2;ekk;EE;maarjasau;2010-02-14 05:39:08;.;0;.;2;7;.;6;3;1;.;.;.;.;.;.;.;20;.;.;.;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;28;.;17;0;2;1;.;.;.;1;1;.;.;0;0;.;1;1;.;1;1;0;3;0;5;45;.;1;.
7341;3;HS3;testb3;ekk;EE;maarjasau;2010-02-14 05:39:22;.;0;.;2;7;.;6;3;1;.;.;.;.;.;.;.;20;.;.;.;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;28;.;15;0;2;1;.;.;.;1;1;.;.;0;0;.;1;1;.;1;1;0;3;0;3;40;.;1;.
7342;3;HS4;testb4;ekk;EE;maarjasau;2010-02-14 05:54:40;.;0;.;2;7;.;3;3;1;.;.;.;.;.;.;.;12;.;.;.;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;28;.;14;0;2;1;.;.;.;1;2;.;.;0;0;.;1;1;.;1;1;0;3;0;3;38;.;1;.
7343;3;HS5;testb5;ekk;EE;maarjasau;2010-02-14 05:55:29;.;0;.;1;1;.;.;3;14;.;.;.;.;.;1;.;.;.;.;.;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;28;.;14;0;2;1;.;.;.;1;2;.;.;0;0;.;1;0;.;1;1;0;2;0;3;39;.;1;.
7344;3;HS6;testb6;ekk;EE;maarjasau;2010-02-14 05:59:06;.;1;.;2;7;.;3;3;4;.;.;.;.;.;.;5;.;.;.;.;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;28;.;13;0;2;1;.;.;.;1;2;.;.;0;0;.;1;1;.;1;1;0;3;0;4;33;.;1;.
7345;3;HS7;testb7;ekk;EE;maarjasau;2010-02-16 04:55:39;11;0;1;1;2;.;.;3;7;.;.;.;.;.;.;.;.;.;.;8;2;0;0;1;0;0;0;1;.;3;0;.;1;5;3;.;1;2;0;0;28;17;14;0;2;1;1;0;.;1;2;2;0;1;0;.;1;1;0;1;1;0;2;0;3;35;1;1;1
7346;3;HS8;testb8;ekk;EE;maarjasau;2010-02-16 04:59:14;.;0;.;1;2;.;.;3;7;.;.;.;.;.;.;.;.;.;.;2;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;28;.;8;0;2;1;.;0;.;1;2;.;.;0;0;.;1;1;0;1;1;0;1;0;1;20;.;1;.
7347;3;HS9;testb9;ekk;EE;maarjasau;2010-02-16 04:59:49;.;0;.;1;2;.;.;3;4;.;.;.;.;.;.;11;.;.;.;.;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;28;.;9;0;2;1;.;0;.;1;2;.;.;0;0;.;1;1;0;1;1;0;2;0;2;26;.;1;.
7348;3;HS10;testb10;ekk;EE;maarjasau;2010-02-17 03:28:54;.;0;.;1;2;.;.;3;4;.;.;.;.;.;.;11;.;.;.;.;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;28;.;15;0;2;1;.;0;.;1;2;.;.;0;0;.;1;1;0;1;1;0;1;0;1;28;.;1;.
7349;3;HS11;testb11;ekk;EE;maarjasau;2010-02-17 03:29:31;.;0;.;1;1;.;.;3;11;.;.;.;.;.;.;.;.;.;1;.;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;28;.;8;0;2;1;.;0;.;1;2;.;.;0;0;.;1;1;0;1;1;0;1;0;2;18;.;1;.
7350;3;HS12;testb12;ekk;EE;maarjasau;2010-02-17 03:30:48;.;0;.;1;1;.;.;3;11;.;.;.;.;.;.;.;.;.;2;.;2;.;0;0;0;.;0;0;.;3;0;.;1;5;3;.;.;1;0;.;28;.;9;0;2;1;.;0;.;1;2;.;.;0;0;.;1;1;0;1;1;0;2;0;3;27;.;1;.
7351;3;HS13;testb13;ekk;EE;maarjasau;2010-03-08 16:23:38;9;0;0;2;7;.;6;3;6;.;.;.;.;.;.;.;.;9;.;.;2;0;1;2;0;0;0;1;1;3;0;.;.;4;1;.;3;4;0;0;46;40;37;0;2;1;0;.;.;.;2;1;0;1;0;.;1;1;.;.;0;0;5;0;9;87;1;0;1
7352;3;HS14;testb14;ekk;EE;maarjasau;2010-03-08 16:25:07;8;0;0;2;7;.;6;3;1;.;.;.;.;.;.;.;20;.;.;.;2;0;0;2;0;0;0;0;.;3;0;.;.;4;1;.;.;3;0;.;46;.;24;0;2;1;0;.;.;.;1;1;.;1;0;.;1;1;.;.;0;0;3;0;6;57;1;0;1
