question_id;study;item_admin;item;language;country;coder;last_updated_coding;WH_word;absolute;balance;centrality;concept;conc_complex;conc_simple;scale_corres;domain;dom_consumer;dom_european;dom_family;dom_health;intpoldomain;dom_leisure;dom_backgrou;natpoldomain;dom_other;dom_personal;dom_work;dont_know;subjectiveop;motivation;form_basic;showc_horiz;opinionother;instr_interv;intropresent;knowledge;labels;labels_gramm;scale_max;scal_neutral;ncategories;fixrefpoints;nfrequencies;nsents_intro;nsents_quest;nsub_quest;numsub_intro;nsyll_ans;nwords_intro;nwords_quest;showc_letter;labels_order;showc_over;encourage;showc_quest;question;scale_urange;ref_period;questiontype;intr_request;instr_respon;scale_basic;showc_boxes;usedshowcard;socdesir;showc_start;symmetry;scale_trange;nabst_ans;nabst_quest;nnouns_ans;nnouns_quest;nsyll_quest;gradation;stimulus;used_WH_word
7368;3;HS30;testb30;ekk;EE;maarjasau;2010-02-14 06:29:00;.;1;.;2;7;.;3;1;4;.;.;.;.;.;.;5;.;.;.;.;2;.;0;0;1;.;0;0;.;2;0;.;1;11;3;.;.;1;0;.;12;.;13;1;1;1;.;0;.;1;2;.;.;0;0;0;1;1;0;1;1;0;3;0;4;33;.;1;.
7369;3;HS31;testb31;ekk;EE;maarjasau;2010-02-16 05:19:53;11;0;1;1;2;.;.;1;7;.;.;.;.;.;.;.;.;.;.;8;2;0;0;1;1;0;1;1;.;2;0;.;1;11;3;.;1;2;0;0;12;17;16;1;1;1;1;0;.;1;2;2;0;1;0;0;1;1;0;1;1;0;2;0;3;37;1;1;1
7370;3;HS32;testb32;ekk;EE;maarjasau;2010-02-16 05:22:52;.;0;.;1;2;.;.;1;7;.;.;.;.;.;.;.;.;.;.;2;2;.;0;0;1;.;0;0;.;2;0;.;1;11;3;.;.;1;0;.;12;.;8;1;1;1;.;0;.;1;2;.;.;0;0;0;1;1;0;1;1;0;1;0;1;20;.;1;.
7371;3;HS33;testb33;ekk;EE;maarjasau;2010-02-16 05:23:22;.;0;.;1;2;.;.;1;4;.;.;.;.;.;.;11;.;.;.;.;2;.;0;0;1;.;0;0;.;2;0;.;1;11;3;.;.;1;0;.;12;.;9;1;1;1;.;0;.;1;1;.;.;0;0;0;1;1;0;1;1;0;2;0;2;25;.;1;.
7372;3;HS34;testb34;ekk;EE;maarjasau;2010-02-17 03:48:17;11;0;1;1;2;.;.;1;4;.;.;.;.;.;.;11;.;.;.;.;2;0;0;1;1;0;1;0;.;2;0;.;3;8;2;.;.;2;0;.;12;.;26;1;1;1;1;0;.;1;2;2;.;1;0;0;1;1;0;1;1;0;2;0;3;54;1;1;1
7373;3;HS35;testb35;ekk;EE;maarjasau;2010-02-17 03:50:54;.;0;.;1;1;.;.;1;11;.;.;.;.;.;.;.;.;.;1;.;2;.;0;0;1;.;0;0;.;2;0;.;3;8;2;.;.;1;0;.;12;.;8;1;1;1;.;0;.;1;2;.;.;0;0;0;1;1;0;1;1;0;1;0;2;18;.;1;.
7374;3;HS36;testb36;ekk;EE;maarjasau;2010-02-17 03:51:13;.;0;.;1;1;.;.;1;11;.;.;.;.;.;.;.;.;.;2;.;2;.;0;0;1;.;0;0;.;2;0;.;3;8;2;.;.;1;0;.;12;.;9;1;1;1;.;0;.;1;2;.;.;0;0;0;1;1;0;1;1;0;2;0;3;27;.;1;.
8505;4;A1;TVTOT;ekk;EE;maarjasau;2010-03-07 23:02:25;9;0;0;0;5;.;.;1;14;.;.;.;.;.;9;.;.;.;.;.;2;0;0;2;0;0;1;0;.;3;0;.;.;8;7;.;.;2;0;.;65;.;13;0;1;1;0;0;.;.;2;1;.;1;0;.;1;0;0;.;0;12;2;12;4;41;1;0;1
8506;4;A3;RDTOT;ekk;EE;maarjasau;2010-03-07 23:30:05;9;0;0;0;5;.;.;1;14;.;.;.;.;.;8;.;.;.;.;.;2;0;0;2;0;0;1;0;.;3;0;.;.;8;7;.;.;2;0;.;65;.;13;0;1;1;0;0;.;.;2;1;.;1;0;.;1;0;0;.;0;12;2;12;4;39;1;0;1
8507;4;A5;NWSPTOT;ekk;EE;maarjasau;2010-03-07 23:43:48;9;0;0;0;5;.;.;1;14;.;.;.;.;.;7;.;.;.;.;.;2;0;0;2;0;0;1;0;.;3;0;.;.;8;7;.;.;2;0;.;65;.;13;0;1;1;0;0;.;.;2;1;.;1;0;.;1;0;0;.;0;12;2;12;4;41;1;0;1
8508;4;A8;PPLTRST;ekk;EE;maarjasau;2010-03-08 00:12:42;.;0;0;0;2;.;.;1;11;.;.;.;.;.;.;.;.;.;4;.;2;1;1;1;1;0;0;0;2;2;1;.;1;11;1;.;.;3;2;.;27;.;34;1;1;1;1;0;.;1;2;1;.;1;0;0;1;0;0;1;1;0;2;2;5;79;1;0;0
8509;4;A9;PPLFAIR;ekk;EE;maarjasau;2010-03-18 16:33:06;.;0;0;0;1;.;.;1;11;.;.;.;.;.;.;.;.;.;4;.;2;1;0;1;.;0;0;0;.;2;1;.;1;11;1;.;.;2;0;.;30;.;21;.;1;.;0;.;.;1;2;1;.;1;0;.;0;0;.;1;1;0;0;2;2;49;1;0;0
9469;4;B4;TRSTPRL;ekk;EE;maarjasau;2010-03-11 05:08:16;11;0;0;2;2;.;.;1;1;.;.;.;.;.;.;.;3;.;.;.;2;0;1;1;1;0;1;0;2;2;0;.;3;11;2;.;.;4;0;.;13;.;44;1;1;1;1;0;.;0;2;2;.;1;0;0;1;1;0;.;1;0;4;0;5;106;1;1;1
9470;4;B5;TRSTLGL;ekk;EE;maarjasau;2010-03-11 05:11:53;.;0;.;1;2;.;.;1;1;.;.;.;.;.;.;.;3;.;.;.;2;.;0;0;1;.;0;0;.;2;0;.;3;11;2;.;.;1;0;.;13;.;2;1;1;1;.;0;.;0;2;.;.;0;0;0;1;1;0;.;1;0;1;0;1;7;.;1;.
